Départ,Arrivée,Distance (m)
Argentan,Verneuil-sur-Avre,79116.453
Argentan,Nonancourt,99946.875
Argentan,Dreux,115115.328
Argentan,Paris Montparnasse Vaugirard,195737.672
Argentan,Sainte-Gauburge,39946.234
Argentan,Paris Montparnasse Hall 1 - 2,195737.672
Paris Montparnasse Hall 1 - 2,Dreux,80625.406
Paris Montparnasse Hall 1 - 2,Nonancourt,95789.602
Paris Montparnasse Hall 1 - 2,Verneuil-sur-Avre,116627.031
Paris Montparnasse Hall 1 - 2,L'Aigle,140357.578
Paris Montparnasse Hall 1 - 2,Sainte-Gauburge,155864.547
Paris Montparnasse Hall 1 - 2,Surdon,181179.172
Paris Montparnasse Hall 1 - 2,Argentan,195747.078
Caen,Mézidon - Canon,23458.48
Caen,Saint-Pierre-sur-Dives,30130.676
Caen,Argentan,66962.297
Caen,Surdon,81530.172
Caen,Sées,89850.914
Caen,Alençon,109973.234
Caen,Vivoin - Beaumont,136756.656
Caen,Montbizot,146606.406
Caen,Le Mans,166023.5
Caen,Écommoy,187532.75
Caen,Château-du-Loir,215952.734
Caen,Tours,264382.781
Caen,Saint-Pierre-des-Corps,264799.844
Alençon,Sées,21308.965
Alençon,Surdon,30524.088
Alençon,Argentan,43012.531
Alençon,Mézidon - Canon,86516.0
Alençon,Caen,109974.016
Tours,Château-du-Loir,48430.156
Tours,Écommoy,76850.18
Tours,Le Mans,98359.156
Tours,Alençon,154412.578
Tours,Sées,174538.078
Tours,Surdon,182852.938
Tours,Argentan,197423.813
Tours,Mézidon - Canon,240926.172
Tours,Caen,264385.313
Tours,Montbizot,117781.859
Tours,Vivoin - Beaumont,127628.828
Tours,Saint-Pierre-sur-Dives,234261.5
Tours,La Hutte Coulombiers,139072.078
Alençon,Saint-Pierre-sur-Dives,79843.797
Le Mans,Connerré - Beillé,24229.26
Le Mans,La Ferté-Bernard,41984.559
Le Mans,Nogent-le-Rotrou,62926.875
Le Mans,La Loupe,87492.211
Le Mans,Courville-sur-Eure,105167.898
Le Mans,Chartres,123948.664
Le Mans,Maintenon,143153.203
Le Mans,Épernon,150974.188
Le Mans,Rambouillet,163502.469
Le Mans,Versailles Chantiers,194536.969
Le Mans,Paris Montparnasse Hall 1 - 2,210609.219
Chartres,Maintenon,19209.504
Chartres,Épernon,27032.998
Chartres,Rambouillet,39561.301
Chartres,Versailles Chantiers,70601.078
Chartres,Paris Montparnasse Hall 1 - 2,86673.195
Paris Montparnasse Hall 1 - 2,Versailles Chantiers,16085.314
Paris Montparnasse Hall 1 - 2,Rambouillet,47119.848
Paris Montparnasse Hall 1 - 2,Épernon,59648.141
Paris Montparnasse Hall 1 - 2,Maintenon,67469.188
Paris Montparnasse Hall 1 - 2,Chartres,86675.859
Paris Montparnasse Hall 1 - 2,Courville-sur-Eure,105454.422
Paris Montparnasse Hall 1 - 2,La Loupe,123130.109
Paris Montparnasse Hall 1 - 2,Nogent-le-Rotrou,147695.547
Paris Montparnasse Hall 1 - 2,La Ferté-Bernard,168637.969
Paris Montparnasse Hall 1 - 2,Connerré - Beillé,186393.25
Paris Montparnasse Hall 1 - 2,Le Mans,210622.5
Versailles Chantiers,Rambouillet,31034.521
Versailles Chantiers,Épernon,43562.82
Versailles Chantiers,Maintenon,51383.82
Versailles Chantiers,Chartres,70590.492
Versailles Chantiers,Courville-sur-Eure,89369.055
Versailles Chantiers,La Loupe,107044.742
Versailles Chantiers,Nogent-le-Rotrou,131610.063
Versailles Chantiers,La Ferté-Bernard,152552.484
Versailles Chantiers,Connerré - Beillé,170307.766
Versailles Chantiers,Le Mans,194537.016
Paris Montparnasse Hall 1 - 2,Le Theil - La Rouge,158565.438
Versailles Chantiers,Le Theil - La Rouge,142479.953
Blois - Chambord,Onzain - Chaumont-sur-Loire,15066.716
Blois - Chambord,Amboise,32453.133
Blois - Chambord,Saint-Pierre-des-Corps,53181.449
Blois - Chambord,Tours,55893.113
Orléans,Baule,22325.828
Orléans,Montlouis,104505.938
Les Aubrais,Meung-sur-Loire,19775.463
Les Aubrais,Beaugency,27342.758
Les Aubrais,Mer,39402.07
Les Aubrais,Blois - Chambord,58950.113
Les Aubrais,Onzain - Chaumont-sur-Loire,74016.828
Les Aubrais,Amboise,91403.25
Les Aubrais,Saint-Pierre-des-Corps,112132.125
Les Aubrais,Tours,114842.445
Nevers,Moulins sur Allier,61294.82
Nevers,Dompierre Sept Fons,88022.461
Nevers,Gilly-sur-Loire,97203.25
Nevers,Digoin,115959.07
Nevers,Paray-le-Monial,127195.461
Nevers,La Clayette - Baudemont,155307.469
Nevers,Chauffailles,165974.547
Nevers,Lamure-sur-Azergues,192253.594
Nevers,Bois-d'Oingt - Légny,212200.438
Nevers,Lozanne,222747.969
Nevers,Lyon Part Dieu,251247.109
Nevers,Lyon Perrache,256356.391
Vierzon,Bourges,31634.551
Vierzon,Nevers,100818.984
Vierzon,Moulins sur Allier,161164.047
Vierzon,Dompierre Sept Fons,188888.188
Vierzon,Gilly-sur-Loire,198068.984
Vierzon,Digoin,216824.813
Vierzon,Paray-le-Monial,228060.953
Vierzon,La Clayette - Baudemont,256173.141
Vierzon,Chauffailles,266840.219
Vierzon,Lamure-sur-Azergues,293119.063
Vierzon,Bois-d'Oingt - Légny,313065.625
Vierzon,Lozanne,323613.031
Vierzon,Lyon Part Dieu,352112.281
Vierzon,Lyon Perrache,357221.781
Tours,Chenonceaux,30363.568
Tours,Montrichard,38550.574
Tours,Saint-Aignan - Noyers,56516.199
Tours,Selles-sur-Cher,70006.172
Tours,Gièvres,79359.281
Tours,Villefranche-sur-Cher,87247.391
Tours,Vierzon,111890.523
Tours,Bourges,143528.125
Tours,Nevers,212719.469
Tours,Moulins sur Allier,273064.406
Tours,Dompierre Sept Fons,300788.25
Tours,Gilly-sur-Loire,309969.063
Tours,Digoin,328724.875
Tours,Paray-le-Monial,339961.0
Tours,La Clayette - Baudemont,368072.75
Tours,Chauffailles,378739.906
Tours,Lamure-sur-Azergues,405018.75
Tours,Bois-d'Oingt - Légny,424965.313
Tours,Lozanne,435512.719
Tours,Lyon Part Dieu,464011.969
Tours,Lyon Perrache,469121.469
Lyon Perrache,Lyon Part Dieu,5089.421
Lyon Perrache,Lozanne,19558.68
Lyon Perrache,Bois-d'Oingt - Légny,30102.605
Lyon Perrache,Lamure-sur-Azergues,50687.941
Lyon Perrache,Chauffailles,76904.32
Lyon Perrache,La Clayette - Baudemont,89918.023
Lyon Perrache,Paray-le-Monial,117883.648
Lyon Perrache,Digoin,140376.906
Lyon Perrache,Gilly-sur-Loire,159133.25
Lyon Perrache,Dompierre Sept Fons,168316.578
Lyon Perrache,Moulins sur Allier,196042.203
Lyon Perrache,Nevers,256384.578
Lyon Perrache,Bourges,325577.469
Lyon Perrache,Vierzon,357212.531
Lyon Perrache,Villefranche-sur-Cher,381856.938
Lyon Perrache,Gièvres,389751.781
Lyon Perrache,Selles-sur-Cher,399098.125
Lyon Perrache,Saint-Aignan - Noyers,412588.594
Lyon Perrache,Montrichard,430554.188
Lyon Perrache,Chenonceaux,438741.156
Lyon Perrache,Bléré - la Croix,444820.5
Lyon Perrache,Saint-Pierre-des-Corps,466399.5
Lyon Perrache,Tours,469111.188
Villefranche - Vernet-les-Bains,Serdinya,5004.367
Villefranche - Vernet-les-Bains,Joncet,6228.074
Villefranche - Vernet-les-Bains,Olette - Canaveilles les Bains,9716.183
Villefranche - Vernet-les-Bains,Nyer,11608.249
Villefranche - Vernet-les-Bains,Thuès les Bains,13873.471
Villefranche - Vernet-les-Bains,Thuès Carença,16275.504
Villefranche - Vernet-les-Bains,Fontpédrouse St-Thomas les B.,19695.164
Villefranche - Vernet-les-Bains,Sauto,22669.762
Villefranche - Vernet-les-Bains,Planès,25181.924
Villefranche - Vernet-les-Bains,Mont-Louis - La Cabanasse,27799.859
Villefranche - Vernet-les-Bains,Bolquère - Eyne,30145.627
Villefranche - Vernet-les-Bains,Font-Romeu-Odeillo-Via,34853.539
Villefranche - Vernet-les-Bains,Estavar,42393.898
Villefranche - Vernet-les-Bains,Saillagouse,44591.77
Villefranche - Vernet-les-Bains,Err,46542.563
Villefranche - Vernet-les-Bains,Sainte-Léocadie,48353.152
Villefranche - Vernet-les-Bains,Osséja,52763.949
Villefranche - Vernet-les-Bains,Bourg-Madame,55623.359
Villefranche - Vernet-les-Bains,Ur les Escaldes,58645.785
Villefranche - Vernet-les-Bains,Bena Fanes,61300.398
Villefranche - Vernet-les-Bains,Latour-de-Carol - Enveitg,62465.137
Gap,Veynes Dévoluy,26613.586
Gap,Luc-en-Diois,68468.547
Gap,Die,88252.586
Gap,Saillans,109326.078
Gap,Crest,125059.227
Gap,Livron,142080.656
Gap,Valence Ville,159506.125
Gap,Valence TGV Rhône-Alpes Sud,170015.453
Gap,Romans - Bourg-de-Péage,179064.063
Romans - Bourg-de-Péage,Valence TGV Rhône-Alpes Sud,9045.343
Romans - Bourg-de-Péage,Valence Ville,19553.311
Romans - Bourg-de-Péage,Livron,37006.277
Romans - Bourg-de-Péage,Crest,54027.703
Romans - Bourg-de-Péage,Saillans,69760.828
Romans - Bourg-de-Péage,Die,90834.32
Romans - Bourg-de-Péage,Luc-en-Diois,110592.258
Romans - Bourg-de-Péage,Veynes Dévoluy,153933.984
Romans - Bourg-de-Péage,Gap,180211.109
Romans - Bourg-de-Péage,Chorges,196308.219
Romans - Bourg-de-Péage,Embrun,217093.516
Romans - Bourg-de-Péage,Mont-Dauphin - Guillestre,233800.438
Romans - Bourg-de-Péage,L'Argentière les Écrins,248076.813
Romans - Bourg-de-Péage,Briançon,261517.859
Briançon,L'Argentière les Écrins,15721.877
Briançon,Mont-Dauphin - Guillestre,30944.676
Briançon,Embrun,48004.773
Briançon,Chorges,70277.484
Briançon,Gap,86464.414
Briançon,Veynes Dévoluy,107583.063
Briançon,Luc-en-Diois,149775.641
Briançon,Die,169559.734
Briançon,Saillans,190633.359
Briançon,Crest,206366.406
Briançon,Livron,223387.797
Briançon,Valence Ville,240813.266
Briançon,Valence TGV Rhône-Alpes Sud,251322.594
Briançon,Romans - Bourg-de-Péage,260371.203
Marseille Saint-Charles,Saint-Antoine,9122.695
Marseille Saint-Charles,Simiane,20785.262
Marseille Saint-Charles,Gardanne,24644.529
Marseille Saint-Charles,Aix-en-Provence,35755.559
Marseille Saint-Charles,Meyrargues,62003.914
Marseille Saint-Charles,Manosque - Gréoux-les-Bains,96273.82
Marseille Saint-Charles,La Brillanne - Oraison,110797.641
Marseille Saint-Charles,Château-Arnoux-Saint-Auban,129282.031
Marseille Saint-Charles,Sisteron,145694.109
Marseille Saint-Charles,Laragne,164695.938
Marseille Saint-Charles,Serres,180155.031
Marseille Saint-Charles,Veynes Dévoluy,196234.984
Marseille Saint-Charles,Gap,222512.109
Marseille Saint-Charles,Chorges,238609.219
Marseille Saint-Charles,Embrun,259394.516
Marseille Saint-Charles,Mont-Dauphin - Guillestre,276101.125
Marseille Saint-Charles,L'Argentière les Écrins,290377.656
Marseille Saint-Charles,Briançon,303818.688
Gap,Serres,42355.031
Gap,Laragne,57814.098
Gap,Sisteron,76815.867
Gap,Château-Arnoux-Saint-Auban,93227.656
Gap,La Brillanne - Oraison,111712.133
Gap,Manosque - Gréoux-les-Bains,126235.953
Gap,Meyrargues,160506.391
Gap,Aix-en-Provence,186754.813
Gap,Gardanne,197865.828
Gap,Simiane,201725.094
Gap,Saint-Antoine,213385.672
Gap,Marseille Saint-Charles,222513.469
Veynes Dévoluy,Serres,16078.82
Veynes Dévoluy,Laragne,32060.947
Veynes Dévoluy,Sisteron,50722.129
Veynes Dévoluy,Château-Arnoux-Saint-Auban,66951.445
Veynes Dévoluy,La Brillanne - Oraison,85435.922
Veynes Dévoluy,Manosque - Gréoux-les-Bains,99959.742
Veynes Dévoluy,Meyrargues,134230.156
Veynes Dévoluy,Aix-en-Provence,160478.578
Veynes Dévoluy,Gardanne,171589.594
Veynes Dévoluy,Simiane,175448.859
Veynes Dévoluy,Saint-Antoine,187109.438
Veynes Dévoluy,Marseille Saint-Charles,196237.234
Briançon,Serres,123661.844
Briançon,Laragne,139120.891
Briançon,Sisteron,158122.719
Briançon,Château-Arnoux-Saint-Auban,174534.609
Briançon,La Brillanne - Oraison,193019.141
Briançon,Manosque - Gréoux-les-Bains,207542.906
Briançon,Meyrargues,241813.328
Briançon,Aix-en-Provence,268061.719
Briançon,Gardanne,279172.781
Briançon,Simiane,283032.094
Briançon,Saint-Antoine,294692.656
Briançon,Marseille Saint-Charles,303820.406
Nice-Ville,Nice Saint-Augustin,5370.463
Nice-Ville,Antibes,19944.08
Nice-Ville,Cannes,30856.264
Nice-Ville,Saint-Raphaël Valescure,63028.555
Nice-Ville,Les Arcs - Draguignan,88593.117
Nice-Ville,Toulon,157138.938
Nice-Ville,Ollioules - Sanary-sur-Mer,166627.797
Nice-Ville,La Ciotat-Ceyreste,187576.531
Nice-Ville,Aubagne,207156.906
Nice-Ville,Marseille Blancarde,220800.859
Nice-Ville,Marseille Saint-Charles,223978.828
Marseille Saint-Charles,Toulon,66853.469
Marseille Saint-Charles,Les Arcs - Draguignan,135384.656
Marseille Saint-Charles,Saint-Raphaël Valescure,160955.203
Marseille Saint-Charles,Cannes,193124.438
Marseille Saint-Charles,Antibes,204034.172
Marseille Saint-Charles,Nice Saint-Augustin,218619.875
Marseille Saint-Charles,Nice-Ville,223990.109
Marseille Saint-Charles,Carnoules,101335.438
Nice-Ville,Carnoules,122641.664
Grenoble,Moirans,18440.838
Grenoble,Tullins Fures,26275.303
Grenoble,Vinay,40008.809
Grenoble,Saint-Marcellin,50326.297
Grenoble,Romans - Bourg-de-Péage,78502.773
Grenoble,Valence TGV Rhône-Alpes Sud,82564.258
Grenoble,Valence Ville,98056.797
Chambéry - Challes-les-Eaux,Montmélian,14628.253
Chambéry - Challes-les-Eaux,Pontcharra sur Bréda,29199.367
Chambéry - Challes-les-Eaux,Grenoble Universités - Gières,69498.336
Chambéry - Challes-les-Eaux,Grenoble,77251.008
Chambéry - Challes-les-Eaux,Moirans,86151.109
Chambéry - Challes-les-Eaux,Tullins Fures,93984.906
Chambéry - Challes-les-Eaux,Saint-Marcellin,117825.688
Chambéry - Challes-les-Eaux,Saint-Hilaire - Saint-Nazaire,129351.578
Chambéry - Challes-les-Eaux,Romans - Bourg-de-Péage,146212.406
Chambéry - Challes-les-Eaux,Valence TGV Rhône-Alpes Sud,155257.781
Chambéry - Challes-les-Eaux,Valence Ville,165766.516
Grenoble,Saint-Hilaire - Saint-Nazaire,61641.945
Annecy,Rumilly,23343.338
Annecy,Albens,32436.588
Annecy,Grésy-sur-Aix,35266.215
Annecy,Aix-les-Bains le Revard,44699.957
Annecy,Chambéry - Challes-les-Eaux,60142.926
