Départ,Arrivée,Distance (m)
Chaumont,Pont-la-Ville,22548.287
Chaumont,Cirfontaines-en-Azois,26019.832
Chaumont,Maranville la Poste,29181.621
Chaumont,Longchamp-sur-Aujon,31846.783
Chaumont,Clairvaux D12,35834.891
Chaumont,Ville-sous-la-Ferté Mairie,38912.965
Ville-sous-la-Ferté Mairie,Clairvaux D12,2939.98
Ville-sous-la-Ferté Mairie,Longchamp-sur-Aujon,7066.164
Ville-sous-la-Ferté Mairie,Maranville la Poste,9731.327
Ville-sous-la-Ferté Mairie,Cirfontaines-en-Azois,12893.112
Ville-sous-la-Ferté Mairie,Pont-la-Ville,16364.663
Ville-sous-la-Ferté Mairie,Orges,19231.389
Ville-sous-la-Ferté Mairie,Bricon la Poste,23573.83
Ville-sous-la-Ferté Mairie,Buxières-lès-Villiers,29622.514
Ville-sous-la-Ferté Mairie,Villiers-le-Sec Mairie,32445.682
Ville-sous-la-Ferté Mairie,Villiers-le-Sec la Poste,32618.984
Ville-sous-la-Ferté Mairie,Chaumont,38612.414
Bricon la Poste,Buxières-lès-Villiers,6048.687
Bricon la Poste,Villiers-le-Sec Mairie,8871.86
Bricon la Poste,Villiers-le-Sec la Poste,9045.163
Bricon la Poste,Chaumont,15038.629
Cherbourg,Mantes-la-Jolie,313454.906
Troyes,Troyes Chambre de Commerce,1094.318
Troyes,Troyes Lombards,2867.478
Troyes,Bouilly Mairie,13921.989
Troyes,Villery,17245.367
Troyes,Saint-Jean-de-Bonneval Église,18123.48
Troyes,Lirey la Chapelle,20554.643
Troyes,Longeville-sur-Mogne Mairie,21990.668
Troyes,Machy,24140.256
Troyes,Jeugny Église,25712.0
Troyes,Fays-la-Chapelle,27092.328
Troyes,Saint-Phal Monument aux Morts,29141.105
Troyes,Chamoy-Carrefour D1/D23,31111.279
Troyes,Montigny-les-Monts Mairie,33773.277
Troyes,Auxon Église,29575.223
Troyes,Evry-le-Châtel Gare,36319.539
Troyes,Ervy-le-Châtel Halles,37262.234
Troyes,Montfey,41379.539
Troyes,Villeneuve-au-Chemin,44796.551
Troyes,Coursan-en-Othe RN,46726.949
Troyes,Neuvy-Sautour,51800.121
Troyes,Saint-Florentin-Ville,57490.402
Troyes,Saint-Florentin - Vergigny,60576.375
Laroche - Migennes,Brienon-sur-Armançon Mairie,9890.013
Laroche - Migennes,Saint-Florentin-Ville,20310.459
Laroche - Migennes,Neuvy-Sautour,26114.816
Laroche - Migennes,Coursan-en-Othe RN,31187.969
Laroche - Migennes,Villeneuve-au-Chemin,33118.367
Laroche - Migennes,Montfey,36535.379
Laroche - Migennes,Ervy-le-Châtel Halles,40680.922
Laroche - Migennes,Evry-le-Châtel Gare,41623.617
Laroche - Migennes,Auxon Église,48367.938
Laroche - Migennes,Montigny-les-Monts Mairie,52209.5
Laroche - Migennes,Chamoy-Carrefour D1/D23,54871.492
Laroche - Migennes,Saint-Phal Monument aux Morts,56841.664
Laroche - Migennes,Fays-la-Chapelle,58890.434
Laroche - Migennes,Jeugny Église,60270.77
Laroche - Migennes,Machy,61842.52
Laroche - Migennes,Longeville-sur-Mogne Mairie,63992.102
Laroche - Migennes,Lirey la Chapelle,65428.137
Laroche - Migennes,Saint-Jean-de-Bonneval Église,67859.32
Laroche - Migennes,Villery,70432.773
Laroche - Migennes,Bouilly Mairie,73756.102
Laroche - Migennes,Saint Pouange Lycée Agricole,82263.406
Laroche - Migennes,Troyes Lombards,84856.633
Laroche - Migennes,Troyes Chambre de Commerce,86661.336
Laroche - Migennes,Troyes,87818.641
Troyes,Auxon Route Nationale,28317.139
Saint-Florentin - Vergigny,Saint-Florentin-Ville,3085.982
Saint-Florentin - Vergigny,Neuvy-Sautour,8776.249
Saint-Florentin - Vergigny,Coursan-en-Othe RN,13849.405
Saint-Florentin - Vergigny,Villeneuve-au-Chemin,15779.804
Saint-Florentin - Vergigny,Montfey,19196.832
Saint-Florentin - Vergigny,Ervy-le-Châtel Halles,23342.361
Saint-Florentin - Vergigny,Evry-le-Châtel Gare,24285.053
Saint-Florentin - Vergigny,Auxon Église,31029.365
Saint-Florentin - Vergigny,Montigny-les-Monts Mairie,34870.922
Saint-Florentin - Vergigny,Chamoy-Carrefour D1/D23,37532.914
Saint-Florentin - Vergigny,Saint-Phal Monument aux Morts,39503.086
Saint-Florentin - Vergigny,Fays-la-Chapelle,41551.855
Saint-Florentin - Vergigny,Jeugny Église,42932.191
Saint-Florentin - Vergigny,Machy,44503.941
Saint-Florentin - Vergigny,Longeville-sur-Mogne Mairie,46653.523
Saint-Florentin - Vergigny,Lirey la Chapelle,48089.559
Saint-Florentin - Vergigny,Saint-Jean-de-Bonneval Église,50520.73
Saint-Florentin - Vergigny,Villery,43321.285
Saint-Florentin - Vergigny,Bouilly Mairie,46644.668
Saint-Florentin - Vergigny,Roncenay,58159.484
Saint-Florentin - Vergigny,Moussey,61972.066
Saint-Florentin - Vergigny,Saint-Léger-près-Troyes,69221.555
Saint-Florentin - Vergigny,Rosières-près-de-Troyes,67828.242
Saint-Florentin - Vergigny,Troyes Lombards,46712.664
Saint-Florentin - Vergigny,Troyes Chambre de Commerce,48517.344
Saint-Florentin - Vergigny,Troyes,49674.66
Troyes,Brienon-sur-Armançon Mairie,72236.336
Troyes,Laroche - Migennes,82078.625
Troyes,Saint Pouange Lycée Agricole,8343.699
Troyes,Rosières-près-de-Troyes,5766.023
Troyes,Saint-Léger-près-Troyes,8453.893
Troyes,Moussey,11626.533
Troyes,Roncenay,15439.117
Caen,Paris Saint-Lazare,238830.25
Caen,Lisieux,48917.242
Caen,Bernay,80120.836
Caen,Évreux Normandie,131719.156
Troyes,Le Cheminot,20341.799
Saint-Florentin - Vergigny,Le Cheminot,29739.199
Saint-Florentin - Vergigny,Auxon Route Nationale,21230.723
Troyes,Troyes Théâtre de Champagne,885.701
Troyes,Troyes Pont Vert,2052.45
Troyes,Barberey-Saint-Sulpice Centre Commercial,7413.203
Troyes,Barberey-Saint-Sulpice Route d,8289.675
Troyes,Saint-Lyé Maisons brûlées,9325.172
Troyes,Saint-Lyé Mantenay,10566.953
Troyes,Saint-Lyé Eglise,11440.138
Troyes,Saint Lyé Gravières,12152.131
Troyes,Saint-Lyé Régales,12676.094
Troyes,Payns Église,14083.903
Troyes,Payns Mairie,14536.536
Troyes,Payns Abri Côté Savières,15300.999
Troyes,Savières Arbre de la Liberté,17540.658
Troyes,Savières  Impasse St-Phal,18623.361
Troyes,Savières Rue Saint-Gilles,19556.289
Troyes,Saint-Mesmin Gare SNCF,26770.324
Troyes,Fontaine-les-Grés Mairie,24402.631
Troyes,Saint-Mesmin Place du Monument,27709.525
Troyes,Saint-Mesmin Courlanges,28858.021
Troyes,Vallant-Saint-Georges Mairie,30967.375
Troyes,Mesgrigny Mairie,33516.848
Troyes,Méry-sur-Seine Hôtel de Ville,36205.188
Troyes,Châtres Salle Polyvalente,40198.961
Troyes,Maizières la Grande Paroisse Pont de Clairvaux,44362.332
Troyes,Maizières-la-Grande-Paroisse Eglise,45480.441
Troyes,Les Granges,47021.051
Troyes,Romilly-sur-Seine Centre Commercial,48686.184
Troyes,Romilly-sur-Seine,37468.305
Romilly-sur-Seine,Romilly-sur-Seine Centre Commercial,2991.437
Romilly-sur-Seine,Les Granges,4660.199
Romilly-sur-Seine,Maizières-la-Grande-Paroisse Eglise,6133.032
Romilly-sur-Seine,Maizières la Grande Paroisse Pont de Clairvaux,7251.138
Romilly-sur-Seine,Châtres Salle Polyvalente,11414.425
Romilly-sur-Seine,Méry-sur-Seine Hôtel de Ville,15499.87
Romilly-sur-Seine,Mesgrigny Mairie,18105.063
Romilly-sur-Seine,Vallant-Saint-Georges Mairie,20654.529
Romilly-sur-Seine,Saint-Mesmin Courlanges,22763.883
Romilly-sur-Seine,Saint-Mesmin Place du Monument,23912.379
Romilly-sur-Seine,Saint-Mesmin Gare SNCF,29082.428
Romilly-sur-Seine,Fontaine-les-Grés Mairie,26714.734
Romilly-sur-Seine,Savières Rue Saint-Gilles,32017.162
Romilly-sur-Seine,Savières  Impasse St-Phal,32950.086
Romilly-sur-Seine,Savières Arbre de la Liberté,34032.797
Romilly-sur-Seine,Payns Abri Côté Savières,36272.461
Romilly-sur-Seine,Payns Mairie,37036.926
Romilly-sur-Seine,Payns Église,37489.559
Romilly-sur-Seine,Saint-Lyé Régales,38897.367
Romilly-sur-Seine,Saint Lyé Gravières,39421.332
Romilly-sur-Seine,Saint-Lyé Eglise,40133.324
Romilly-sur-Seine,Saint-Lyé Mantenay,41006.508
Romilly-sur-Seine,Saint-Lyé Maisons brûlées,42248.293
Romilly-sur-Seine,Barberey-Saint-Sulpice Route d,43283.781
Romilly-sur-Seine,Barberey-Saint-Sulpice Centre Commercial,44158.316
Romilly-sur-Seine,Troyes Pont Vert,50392.617
Romilly-sur-Seine,Troyes Théâtre de Champagne,51504.215
Romilly-sur-Seine,Troyes,52470.602
Payns Abri Côté Savières,Payns Mairie,764.463
Payns Abri Côté Savières,Payns Église,1217.096
Payns Abri Côté Savières,Saint-Lyé Régales,2624.906
Payns Abri Côté Savières,Saint Lyé Gravières,3148.869
Payns Abri Côté Savières,Saint-Lyé Eglise,3860.862
Payns Abri Côté Savières,Saint-Lyé Mantenay,4734.046
Payns Abri Côté Savières,Saint-Lyé Maisons brûlées,5975.829
Payns Abri Côté Savières,Barberey-Saint-Sulpice Route d,7011.322
Payns Abri Côté Savières,Barberey-Saint-Sulpice Centre Commercial,7885.851
Payns Abri Côté Savières,Troyes Pont Vert,14120.168
Payns Abri Côté Savières,Troyes Théâtre de Champagne,15231.769
Payns Abri Côté Savières,Troyes,16198.155
Romilly-sur-Seine,Romilly-sur-Seine Atelier SNCF,458.127
Romilly-sur-Seine,Romilly-sur-Seine Hôpital,1260.896
Romilly-sur-Seine,Saint-Hilaire-sous-Romilly,5833.406
Romilly-sur-Seine,Crancey Route Nationale,7037.161
Romilly-sur-Seine,Pont-sur-Seine Fleming,10330.327
Romilly-sur-Seine,Pont-sur-Seine Place Saint-Martin,11100.93
Romilly-sur-Seine,Marnay-sur-Seine,16048.342
Romilly-sur-Seine,Nogent-sur-Seine Avenue du Génaral de Gaulle,21119.594
Romilly-sur-Seine,Nogent-sur-Seine Théatre,21829.18
Romilly-sur-Seine,Nogent-sur-Seine,19222.459
Nogent-sur-Seine,Nogent-sur-Seine Théatre,1415.309
Nogent-sur-Seine,Nogent-sur-Seine Avenue du Génaral de Gaulle,2142.285
Nogent-sur-Seine,Marnay-sur-Seine,7723.982
Nogent-sur-Seine,Pont-sur-Seine Place Saint-Martin,13357.817
Nogent-sur-Seine,Pont-sur-Seine Fleming,13718.201
Nogent-sur-Seine,Crancey Route Nationale,17294.814
Nogent-sur-Seine,Saint-Hilaire-sous-Romilly,18498.572
Nogent-sur-Seine,Romilly-sur-Seine Hôpital,23071.082
Nogent-sur-Seine,Romilly-sur-Seine Atelier SNCF,23908.068
Nogent-sur-Seine,Romilly-sur-Seine,20091.041
Charleville-Mézières,Hirson,58978.438
Hirson,Charleville-Mézières,53331.305
Évreux Normandie,Bernay,51598.289
Évreux Normandie,Lisieux,82849.805
Évreux Normandie,Caen,131719.188
Reims,Muizon,10500.466
Reims,Jonchery-sur-Vesle,16100.846
Reims,Breuil - Romain,20471.184
Reims,Magneux - Courlandon,22933.438
Reims,Fismes,26664.398
Fismes,Magneux - Courlandon,3730.961
Fismes,Breuil - Romain,6193.221
Fismes,Jonchery-sur-Vesle,10563.556
Fismes,Muizon,16163.936
Fismes,Reims,26664.4
Serquigny,Évreux Normandie,41785.273
Serquigny,Paris Saint-Lazare,148896.344
Aillevillers,Saint-Loup-sur-Semouse,7297.175
Aillevillers,Luxeuil-les-Bains,24567.914
Aillevillers,Lure,43814.949
Aillevillers,Ronchamp,55095.617
Aillevillers,Champagney,61448.84
Aillevillers,Belfort-Ville,78139.391
Lure,Luxeuil-les-Bains,18732.422
Lure,Aillevillers,36732.309
Morteau,Avoudrey,26042.887
Morteau,Le Valdahon,33978.945
Morteau,L'Hôpital-du-Grosbois,44333.211
Morteau,Mamirolle,50892.313
Morteau,Saône,55851.297
Morteau,Morre,59045.234
Morteau,Besançon Mouillère,63083.055
Morteau,Besançon Viotte,66092.781
Le Locle,Le Locle Col des Roches,1781.049
Le Locle,Morteau,10966.129
Mouchard,Dole,36119.809
Dole,Mouchard,31753.645
Paris Saint-Lazare,Pont-l'Évêque,207390.516
Paris Saint-Lazare,Trouville - Deauville,219074.734
Lons-le-Saunier,Montain-Lavigny,6578.792
Lons-le-Saunier,Voiteur Halte Routière,11491.823
Lons-le-Saunier,Domblans Halte Routière,13000.116
Lons-le-Saunier,Passenans,18055.137
Lons-le-Saunier,Saint-Lothain,22426.168
Lons-le-Saunier,Poligny,28620.637
Lons-le-Saunier,Buvilly Halte Routière,32066.809
Lons-le-Saunier,Arbois,40604.992
Lons-le-Saunier,Mouchard,49483.418
Mouchard,Arbois,10632.385
Mouchard,Buvilly Halte Routière,18580.025
Mouchard,Poligny,21841.799
Mouchard,Saint-Lothain,28690.389
Mouchard,Passenans,32616.465
Mouchard,Domblans Halte Routière,37762.5
Mouchard,Voiteur Halte Routière,39279.031
Mouchard,Montain-Lavigny,44191.906
Mouchard,Lons-le-Saunier,50764.094
Trouville - Deauville,Pont-l'Évêque,11683.709
Trouville - Deauville,Lisieux,29129.727
Trouville - Deauville,Bernay,60381.227
Trouville - Deauville,Évreux Normandie,111979.508
Trouville - Deauville,Paris Saint-Lazare,219090.688
Évreux Normandie,Pont-l'Évêque,100299.766
Évreux Normandie,Trouville - Deauville,111984.07
Mouchard,Arc-et-Senans,6429.3
Mouchard,Liesle,11382.577
Mouchard,Byans,18826.055
Mouchard,Besançon Viotte,40865.164
Frasne,Dompierre Halte Routière,2979.652
Frasne,Bouverans Halte Routière,5533.638
Frasne,La Rivière,4558.863
Frasne,Sainte-Colombe,8985.43
Frasne,Les Granges-Narboz,15246.559
Pontarlier,Les Granges-Narboz,4455.998
Pontarlier,Sainte-Colombe,7378.005
Pontarlier,La Rivière,11804.57
Pontarlier,Bouverans Halte Routière,14136.971
Pontarlier,Dompierre Halte Routière,16690.959
Dompierre Halte Routière,Bouverans Halte Routière,2553.986
Dompierre Halte Routière,La Rivière,4062.864
Dompierre Halte Routière,Les Granges-Narboz,12266.911
Dompierre Halte Routière,Pontarlier,16733.5
Les Granges-Narboz,Pontarlier,4466.589
Frasne,Bonnevaux,6693.156
Frasne,Vaux-et-Chantegrue,13134.389
Frasne,Saint-Antoine (Doubs),34761.332
Frasne,Les Hôpitaux-Neufs,37542.426
Frasne,Jougne,40142.195
Frasne,Les Tavins,42790.129
Vallorbe,Les Tavins,3240.101
Vallorbe,Jougne,5474.079
Vallorbe,Les Hôpitaux-Neufs,8128.123
Vallorbe,Métabief,10333.526
Vallorbe,Saint-Antoine (Doubs),10519.312
Vallorbe,Les Longevilles Rochejean,15354.348
Vallorbe,Les Granges-Sainte-Marie,22697.93
Vallorbe,Malbuisson,25153.834
Vallorbe,Vaux-et-Chantegrue,22553.041
Vallorbe,Bonnevaux,28994.273
Frasne,Les Granges-Sainte-Marie,18339.383
Frasne,Malbuisson,20983.838
Frasne,Les Longevilles Rochejean,30783.998
Frasne,Métabief,35750.996
Jougne,Les Hôpitaux-Neufs,2654.044
Jougne,Métabief,4445.481
Jougne,Saint-Antoine (Doubs),5488.515
Jougne,Les Longevilles Rochejean,9466.303
Jougne,Labergement-Sainte-Marie,15755.085
Jougne,Les Granges-Sainte-Marie,16809.898
Jougne,Malbuisson,19265.803
Jougne,Vaux-et-Chantegrue,27096.459
Jougne,Bonnevaux,33537.699
Jougne,Frasne,40144.68
Champagnole,La Chaux-des-Crotenay,12287.005
Champagnole,La Chaumusse - Fort-du-Plasne,18783.426
Champagnole,Saint-Laurent-en-Grandvaux,22552.51
Champagnole,Morbier,30288.129
Champagnole,Morez,35224.16
Champagnole,Saint-Claude,60067.234
Champagnole Paul-Émile Victor,Champagnole,1613.568
Champagnole Paul-Émile Victor,Andelot,15886.057
Champagnole Paul-Émile Victor,Mouchard,36390.363
Champagnole Paul-Émile Victor,Dole,72510.117
Andelot,Champagnole,13770.142
Andelot,La Chaux-des-Crotenay,26057.137
Andelot,Saint-Laurent-en-Grandvaux,36322.633
Andelot,Morbier,44058.27
Andelot,Morez,48994.328
Andelot,Saint-Claude,73837.461
Saint-Claude,Morez,24843.09
Saint-Claude,Morbier,29779.115
Saint-Claude,Saint-Laurent-en-Grandvaux,37516.664
Saint-Claude,La Chaumusse - Fort-du-Plasne,41287.758
Saint-Claude,La Chaux-des-Crotenay,47784.191
Saint-Claude,Champagnole Paul-Émile Victor,58981.359
Saint-Claude,Champagnole,60071.195
Saint-Claude,Andelot,73841.32
Saint-Claude,Mouchard,98630.086
Saint-Claude,Arc-et-Senans,105059.383
Saint-Claude,Montbarrey,116020.484
Saint-Claude,Dole,130384.555
Mouchard,Champagnole,32257.467
Mouchard,Saint-Laurent-en-Grandvaux,55113.844
Mouchard,Morbier,63118.105
Mouchard,Morez,65977.547
Mouchard,Saint-Claude,94138.336
Alès,Nîmes,48308.871
Nîmes,Alès,49365.625
Paris Montparnasse Hall 1 - 2,Briouze,224799.031
Paris Montparnasse Hall 1 - 2,Flers,241473.234
Paris Montparnasse Hall 1 - 2,Vire,269843.375
Paris Montparnasse Hall 1 - 2,Villedieu-les-Poêles,296911.688
Paris Montparnasse Hall 1 - 2,Folligny,311952.844
Paris Montparnasse Hall 1 - 2,Granville,326332.531
Granville,Surdon,145150.281
Granville,Sainte-Gauburge,170529.813
Granville,L'Aigle,185968.547
Granville,Verneuil-sur-Avre,209700.109
Granville,Nonancourt,230530.563
Granville,Dreux,245698.969
Granville,Versailles Chantiers,310249.25
Granville,Paris Montparnasse Vaugirard,326321.344
Argentan,Versailles Chantiers,179665.422
Granville,Paris Montparnasse Hall 1 - 2,326321.375
Mende,Marvejols Place du Chayla,22725.969
Mende,Aumont-Aubrac,44676.84
Mende,Saint-Chély-d'Apcher,67300.508
Mende,Clermont-Ferrand,184212.281
Clermont-Ferrand,Saint-Chély-d'Apcher,129004.094
Clermont-Ferrand,Aumont-Aubrac,139401.781
Clermont-Ferrand,Marvejols Place du Chayla,163231.656
Clermont-Ferrand,Mende,185762.547
Paris Montparnasse Vaugirard,Verneuil-sur-Avre,116632.375
Paris Montparnasse Vaugirard,L'Aigle,140362.922
Paris Montparnasse Vaugirard,Surdon,181184.5
Paris Montparnasse Vaugirard,Argentan,195752.406
Paris Montparnasse Vaugirard,Briouze,224804.375
Paris Montparnasse Vaugirard,Flers,241479.547
Paris Montparnasse Vaugirard,Vire,269849.906
Paris Montparnasse Vaugirard,Villedieu-les-Poêles,296918.219
Paris Montparnasse Vaugirard,Folligny,311959.438
Paris Montparnasse Vaugirard,Granville,326337.125
Quillan,Campagne-sur-Aude Le Vieux Pont,6063.707
Quillan,Espéraza,9266.169
Quillan,Couiza - Montazels,12299.304
Quillan,Couiza Saint-Anne,12770.543
Quillan,Alet-les-Bains,19019.979
Quillan,Limoux,28023.684
Quillan,Limoux - Flassian,32119.477
Quillan,Pomas Lavoir,41283.781
Quillan,Carcassonne,58308.508
Carcassonne,Pomas Lavoir,15353.218
Carcassonne,Limoux - Flassian,24610.525
Carcassonne,Limoux,26084.012
Carcassonne,Alet-les-Bains,37117.883
Carcassonne,Couiza Saint-Anne,44591.672
Carcassonne,Couiza - Montazels,45234.902
Carcassonne,Espéraza,48177.344
Carcassonne,Campagne-sur-Aude Le Vieux Pont,51148.07
Carcassonne,Quillan,58040.719
Limoux,Limoux - Flassian,1473.483
Limoux,Pomas Lavoir,11357.448
Limoux,Carcassonne,26084.002
Limoux,Alet-les-Bains,9003.697
Limoux,Couiza Saint-Anne,15253.133
Limoux,Couiza - Montazels,15724.372
Limoux,Espéraza,18757.506
Limoux,Campagne-sur-Aude Le Vieux Pont,21959.975
Limoux,Quillan,28023.674
Béziers,Béziers Frédéric Mistral,1772.398
Béziers,Magalas,18303.662
Béziers,Bédarieux,42459.32
Bédarieux,Magalas,24155.68
Bédarieux,Béziers Frédéric Mistral,39849.199
Bédarieux,Béziers,42459.355
Paris Montparnasse Hall 1 - 2,Avranches,330561.719
Paris Montparnasse Hall 1 - 2,Pontorson - Mont-Saint-Michel,352456.906
Montluçon,Gouzon Champ de Foire,35614.023
Montluçon,Parsac Centre,44476.898
Montluçon,Ajain,57214.973
Montluçon,Guéret,78488.516
Guéret,Ajain,10606.825
Guéret,Parsac Centre,23755.615
Guéret,Gouzon Champ de Foire,32524.926
Guéret,Montluçon,66709.625
Pontorson - Mont-Saint-Michel,Avranches,21895.01
Pontorson - Mont-Saint-Michel,Folligny,40503.867
Pontorson - Mont-Saint-Michel,Villedieu-les-Poêles,55545.188
Pontorson - Mont-Saint-Michel,Vire,82613.484
Pontorson - Mont-Saint-Michel,Flers,110983.531
Pontorson - Mont-Saint-Michel,Briouze,127657.734
Pontorson - Mont-Saint-Michel,Argentan,156709.688
Pontorson - Mont-Saint-Michel,Surdon,171276.484
Pontorson - Mont-Saint-Michel,L'Aigle,212094.75
Pontorson - Mont-Saint-Michel,Verneuil-sur-Avre,235826.313
Pontorson - Mont-Saint-Michel,Dreux,271825.219
Pontorson - Mont-Saint-Michel,Paris Montparnasse Hall 1 - 2,352447.781
Ussel,Ussel Place Henri Queuille,1549.349
Ussel,Saint-Angel,11324.313
Ussel,Meymac,13274.678
Ussel,Meymac Bourg,20921.732
Ussel,Maussac Place de la Poste,29404.502
Ussel,Maussac le Poteau,29753.639
Ussel,Égletons,32294.492
Ussel,Egletons-ville,43090.57
Ussel,Rosiers-d'Égletons,47728.879
Ussel,Montaignac,41501.164
Ussel,Eyrein,55490.98
Ussel,Corrèze,50684.734
Ussel,Tulle,67562.539
Tulle,Corrèze,14940.885
Tulle,Eyrein,19916.602
Tulle,Montaignac,24176.17
Tulle,Rosiers-d'Égletons,27666.801
Tulle,Egletons-ville,32345.338
Tulle,Égletons,34387.559
Tulle,Meymac Bourg,54404.211
Tulle,Meymac,56015.668
Tulle,Saint-Angel,63970.648
Tulle,Ussel Place Henri Queuille,73043.109
Tulle,Ussel,74881.469
Brive-la-Gaillarde,Tulle,25986.395
Brive-la-Gaillarde,Corrèze,42864.23
Brive-la-Gaillarde,Eyrein,46830.613
Brive-la-Gaillarde,Montaignac,52047.801
Brive-la-Gaillarde,Rosiers-d'Égletons,54580.824
Brive-la-Gaillarde,Egletons-ville,59259.367
Brive-la-Gaillarde,Égletons,61254.469
Brive-la-Gaillarde,Maussac le Poteau,72568.836
Brive-la-Gaillarde,Maussac Place de la Poste,72917.977
Brive-la-Gaillarde,Meymac Bourg,81318.25
Brive-la-Gaillarde,Meymac,80275.938
Brive-la-Gaillarde,Saint-Angel,90884.641
Brive-la-Gaillarde,Ussel,93548.992
Ussel,Cornil,75757.852
Ussel,Aubazines - Saint-Hilaire,83120.0
Ussel,Brive-la-Gaillarde,93546.523
Égletons,Meymac,21628.086
Bort-les-Orgues,Bort-les-Orgues Ville,729.496
Bort-les-Orgues,Ussel Place Henri Queuille,27539.4
Bort-les-Orgues,Ussel,29283.348
Ussel,Bort-les-Orgues Ville,28936.871
Ussel,Bort-les-Orgues,29666.375
Saint-Yrieix,Coussac-Bonneval,8333.946
Saint-Yrieix,Lubersac,17625.377
Saint-Yrieix,Pompadour,23119.949
Pompadour,Lubersac,5494.573
Pompadour,Coussac-Bonneval,14786.003
Pompadour,Saint-Yrieix,23113.008
Objat,Vignols - Saint-Solve,5431.294
Objat,Pompadour,14622.41
Pompadour,Vignols - Saint-Solve,9191.116
Pompadour,Objat,14616.912
Mirecourt,Diarville Place Raymond Midon,11815.01
Mirecourt,Praye-sous-Vaudémont PN,20237.627
Mirecourt,Tantonville Rue Louis Pasteur,25591.184
Mirecourt,Vézelise Beauregard,24012.75
Mirecourt,Ceintrey Eglise,30841.256
Mirecourt,Nancy,51292.473
Vézelise Beauregard,Mirecourt,23920.201
Vézelise Beauregard,Mirecourt Lycée Agricole,24867.77
Vézelise Beauregard,Mattaincourt la Poste,26795.361
Vézelise Beauregard,Hymont Mairie,28466.084
Vézelise Beauregard,Rémoncourt Place de la Fête,36516.313
Vézelise Beauregard,Haréville sous Monfort Centre,41290.102
Vézelise Beauregard,Vittel,46679.047
Vézelise Beauregard,Contrexéville,52234.355
Vézelise Beauregard,Martigny-les-Bains Thiébaut,65608.813
Damblain Église,Rozières-sur-Mouzon,6412.63
Damblain Église,Lamarche,12156.844
Damblain Église,Lamarche Centre,14977.006
Damblain Église,Martigny-les-Bains Thiébaut,20681.176
Damblain Église,Martigny-les-Bains Gare,21057.168
Damblain Église,Contrexéville,33856.055
Damblain Église,Vittel,39416.547
Damblain Église,Hymont Mairie,57872.426
Damblain Église,Mattaincourt la Poste,59543.152
Damblain Église,Mirecourt Lycée Agricole,61465.023
Damblain Église,Mirecourt,62240.867
Damblain Église,Diarville Place Raymond Midon,74085.477
Damblain Église,Vézelise Beauregard,86164.469
Damblain Église,Ceintrey Eglise,92992.977
Damblain Église,Nancy,113444.195
Nancy,Pont-Saint-Vincent,16625.057
Nancy,Ceintrey Groupe Scolaire,36304.254
Nancy,Vézelise Beauregard,27623.617
Nancy,Mirecourt,51543.82
Nancy,Mirecourt Lycée Agricole,52491.383
Nancy,Mattaincourt la Poste,58317.094
Nancy,Hymont Mairie,59987.82
Nancy,Haréville sous Monfort Centre,72811.781
Nancy,Vittel,89677.914
Nancy,Contrexéville,84117.453
Contrexéville,Vittel,5560.489
Contrexéville,Hymont Mairie,23814.166
Contrexéville,Mattaincourt la Poste,25484.889
Contrexéville,Mirecourt Lycée Agricole,27406.77
Contrexéville,Mirecourt,28384.836
Nancy,Ceintrey Eglise,20795.111
Vittel,Hymont Mairie,18253.666
Vittel,Mattaincourt la Poste,19924.389
Vittel,Mirecourt Lycée Agricole,21846.27
Vittel,Mirecourt,22824.332
Nancy,Tantonville Rue Louis Pasteur,32391.227
Nancy,Praye-sous-Vaudémont PN,37726.5
Nancy,Saxon-Sion Basilique,40364.191
Nancy,Diarville Place Raymond Midon,43800.234
Contrexéville,Diarville Place Raymond Midon,40027.234
Contrexéville,Vézelise Beauregard,52308.41
Contrexéville,Ceintrey Eglise,59136.941
Contrexéville,Nancy,79588.172
Nancy,Martigny-les-Bains Gare,92627.594
Nancy,Lamarche Centre,98712.188
Nancy,Lamarche,101532.344
Nancy,Rozières-sur-Mouzon,107276.563
Nancy,Damblain Église,113691.594
Mirecourt,Saxon-Sion Basilique,17599.918
Mirecourt,Mirecourt Lycée Agricole,947.569
Mirecourt,Mattaincourt la Poste,2875.155
Mirecourt,Hymont Mairie,4545.875
Mirecourt,Vittel,22758.836
Mirecourt,Contrexéville,28314.154
Martigny-les-Bains Thiébaut,Martigny-les-Bains Collège,189.49
Martigny-les-Bains Thiébaut,Contrexéville,13517.138
Martigny-les-Bains Thiébaut,Vittel,19077.621
Martigny-les-Bains Thiébaut,Haréville sous Monfort Centre,24507.334
Martigny-les-Bains Thiébaut,Rémoncourt Place de la Fête,29281.121
Martigny-les-Bains Thiébaut,Hymont Mairie,37331.301
Martigny-les-Bains Thiébaut,Mattaincourt la Poste,39002.027
Martigny-les-Bains Thiébaut,Mirecourt Lycée Agricole,40923.898
Martigny-les-Bains Thiébaut,Mirecourt,41901.957
Martigny-les-Bains Thiébaut,Vézelise Beauregard,65825.539
Martigny-les-Bains Thiébaut,Ceintrey Eglise,72654.047
Martigny-les-Bains Thiébaut,Nancy,93105.266
Contrexéville,Haréville sous Monfort Centre,10990.197
Vittel,Vézelise Beauregard,46747.895
Vittel,Ceintrey Eglise,53576.426
Vittel,Nancy,90407.734
Sarreguemines Collège Himmelsberg,Ippling Rue de Sarreguemines,6189.561
